iter	Logloss
0	0.6890709471
1	0.6834933669
2	0.6778900418
3	0.6727365399
4	0.6676552651
5	0.6623698628
6	0.6576976265
7	0.6525771977
8	0.6477750007
9	0.6427105522
10	0.6382974828
11	0.6334949612
12	0.6291292991
13	0.6248635809
14	0.6207782194
15	0.6168158273
16	0.6128074178
17	0.6089522958
18	0.604552181
19	0.6007788454
20	0.5970702079
21	0.5936120783
22	0.5897800975
23	0.5863374496
24	0.5831663578
25	0.5801438328
26	0.5770126518
27	0.5737946707
28	0.5704089805
29	0.5673996686
30	0.5645186139
31	0.5617329344
32	0.5587341906
33	0.5557969978
34	0.5530262962
35	0.5505718233
36	0.5481689163
37	0.5457305409
38	0.5431612343
39	0.5408189786
40	0.5384533408
41	0.5357743314
42	0.5334620601
43	0.5314927807
44	0.5290497491
45	0.5271619589
46	0.5251317056
47	0.5229947017
48	0.5210958434
49	0.5190920067
50	0.5172802888
51	0.5154445499
52	0.5133990804
53	0.5122895375
54	0.5103648243
55	0.5084580399
56	0.506756364
57	0.5049799864
58	0.5033781262
59	0.5016979995
60	0.5000559536
61	0.4984969535
62	0.4967579491
63	0.495403099
64	0.4940224
65	0.4926910958
66	0.4913612539
67	0.4897688007
68	0.4882914805
69	0.4870228046
70	0.4857571492
71	0.4844650196
72	0.4832259776
73	0.4819316841
74	0.4806910231
75	0.4796133742
76	0.4785590476
77	0.4773001992
78	0.4761622256
79	0.4750712216
80	0.4739046455
81	0.4729130115
82	0.4720154911
83	0.4709845786
84	0.4701435993
85	0.4692380247
86	0.4681132052
87	0.4673292742
88	0.4663584718
89	0.4655878048
90	0.4646775064
91	0.4637891955
92	0.462831674
93	0.462088839
94	0.4611265991
95	0.4603358392
96	0.4594614374
97	0.4586960654
98	0.457883262
99	0.4570122053
100	0.4563068551
101	0.4555479264
102	0.4548540769
103	0.4542317478
104	0.4536145182
105	0.4527689643
106	0.4521416522
107	0.4514773942
108	0.4508352587
109	0.4501825867
110	0.4494695312
111	0.4486828086
112	0.448398512
113	0.4476607506
114	0.4468970727
115	0.4463627742
116	0.4457831106
117	0.4451124855
118	0.4443358388
119	0.44381621
120	0.4431747163
121	0.4425759393
122	0.4418108304
123	0.4412171395
124	0.4406942735
125	0.4402343218
126	0.4396512352
127	0.4392255144
128	0.4387879629
129	0.4383217619
130	0.4378857329
131	0.4375096575
132	0.4372454888
133	0.4366791958
134	0.436175604
135	0.4356821355
136	0.435211759
137	0.4348020573
138	0.4344011095
139	0.4339117529
140	0.4335431837
141	0.4331134635
142	0.4328688456
143	0.4324329517
144	0.4321026753
145	0.4315802921
146	0.4311157732
147	0.430796044
148	0.4304043568
149	0.429948953
150	0.4296014073
151	0.4292692811
152	0.4289529404
153	0.4286271544
154	0.4282457388
155	0.4279619394
156	0.4276861817
157	0.4272700263
158	0.426906103
159	0.4265611924
160	0.4262990749
161	0.4259574669
162	0.4256190322
163	0.4252556102
164	0.4248401445
165	0.4245331436
166	0.4242648701
167	0.4239355836
168	0.4238519267
169	0.4235985239
170	0.4233112936
171	0.4229788713
172	0.4226753885
173	0.4224220501
174	0.4220674535
175	0.4216881502
176	0.4214416104
177	0.421062876
178	0.4206730412
179	0.4204482801
180	0.4201256466
181	0.4198715538
182	0.4195830608
183	0.4193782128
184	0.4191508641
185	0.4189502992
186	0.4186861739
187	0.4185009521
188	0.4182747534
189	0.4180764636
190	0.4178798371
191	0.4176756643
192	0.4173838046
193	0.4171610621
194	0.416994994
195	0.4168207171
196	0.4166716262
197	0.4164550609
198	0.41627465
199	0.4161392582
200	0.4159827641
201	0.4157890308
202	0.4156337978
203	0.4154427193
204	0.4151678626
205	0.4149703458
206	0.414773347
207	0.4145388055
208	0.4143687633
209	0.4141320239
210	0.4139707145
211	0.4137250032
212	0.4134676992
213	0.4132445242
214	0.4129602985
215	0.4128111644
216	0.412679397
217	0.4124283852
218	0.4122400767
219	0.4120831043
220	0.4118758216
221	0.4116601396
222	0.4114994547
223	0.4113655576
224	0.4112310758
225	0.4111024559
226	0.4109793858
227	0.410838091
228	0.4107270964
229	0.4105762823
230	0.4104467885
231	0.4102018862
232	0.410098088
233	0.4099809306
234	0.4098140367
235	0.4096583348
236	0.409469111
237	0.4093435828
238	0.4092188669
239	0.4090855113
240	0.4088840217
241	0.4086868528
242	0.4085842925
243	0.4084301789
244	0.4082712789
245	0.4081078555
246	0.4079986061
247	0.4079058477
248	0.4077391208
249	0.407594653
250	0.407458205
251	0.4072305142
252	0.4070909767
253	0.4069789178
254	0.4067924973
255	0.406625562
256	0.4064124298
257	0.4062524909
258	0.4061459791
259	0.4060355537
260	0.40592594
261	0.4058218163
262	0.4056610206
263	0.4054836599
264	0.4053819359
265	0.4052780697
266	0.4051952502
267	0.4050352632
268	0.4049425678
269	0.4048852422
270	0.4047418887
271	0.4046006188
272	0.4044266365
273	0.4043322617
274	0.40422472
275	0.4040994463
276	0.4039964735
277	0.4038262878
278	0.4036940322
279	0.4035924508
280	0.4034850415
281	0.4034280322
282	0.4032651323
283	0.4031847367
284	0.4030801015
285	0.4029960239
286	0.4028324278
287	0.4027474987
288	0.4026960161
289	0.4026436449
290	0.4025698659
291	0.4024839758
292	0.4024125467
293	0.4022585722
294	0.4021692394
295	0.4021137732
296	0.4020127675
297	0.4018414014
298	0.4017215843
299	0.401608466
